customer_key,customer_number,customer_name,age_group,cust_segmentation,last_order_date,recency,total_orders,total_sales,total_quantity,total_products,time_spam,avg_order_value,avg_monthly_value,active_customer
1,AW00011000,Jon Yang,50-59,VIP,2013-05-03,144,3,8249.0,8.0,8,27,2749.67,305.52,False
2,AW00011001,Eugene Huang,40-49,VIP,2013-12-10,136,3,6384.0,11.0,10,34,2128.0,187.76,False
3,AW00011002,Ruben Torres,50-59,VIP,2013-02-23,146,3,8114.0,4.0,4,25,2704.67,324.56,False
4,AW00011003,Christy Zhu,50-59,VIP,2013-05-10,143,3,8139.0,9.0,9,28,2713.0,290.68,False
5,AW00011004,Elizabeth Johnson,40-49,VIP,2013-05-01,144,3,8196.0,6.0,6,27,2732.0,303.56,False
6,AW00011005,Julio Ruiz,40-49,VIP,2013-05-02,144,3,8121.0,6.0,6,28,2707.0,290.04,False
7,AW00011006,Janet Alvarez,40-49,VIP,2013-05-14,143,3,8119.0,5.0,5,27,2706.33,300.7,False
8,AW00011007,Marco Mehta,50-59,VIP,2013-03-19,145,3,8211.0,8.0,8,26,2737.0,315.81,False
9,AW00011008,Rob Verhoff,40-49,VIP,2013-03-02,146,3,8106.0,7.0,7,25,2702.0,324.24,False
10,AW00011009,Shannon Carlson,50-59,VIP,2013-05-09,143,3,8091.0,5.0,5,27,2697.0,299.67,False
11,AW00011010,Jacquelyn Suarez,50-59,VIP,2013-05-23,143,3,8088.0,4.0,4,28,2696.0,288.86,False
12,AW00011011,Curtis Lu,50-59,VIP,2013-03-19,145,3,8133.0,4.0,4,26,2711.0,312.81,False
15,AW00011014,Sydney Bennett,50-59,New,2013-04-30,144,2,138.0,6.0,5,1,69.0,138.0,False
16,AW00011015,Chloe Young,40-49,New,2013-01-18,147,1,2501.0,3.0,3,0,2501.0,2501.0,False
17,AW00011016,Wyatt Hill,40-49,New,2013-02-09,146,1,2332.0,3.0,3,0,2332.0,2332.0,False
